DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
1/16/2010,Long March 3C,Xichang,Beidou 3,GEO,CAST,CAST,Navigation,,S,S,
1/27/2010,Proton M,Baikonur,Raduga-1M,GEO,Russian MoD,ISS Reshetnev,Communications,,S,S,
2/2/2010,Soyuz,Baikonur,Progress ISS 36P,LEO,Roscosmos,RSC Energia,ISS,,S,S,
2/7/2010,Shuttle Endeavour KSC,Baikonur,STS 130,LEO,NASA,Rockwell International,Crewed,,S,S,
2/10/2010,Atlas V 401,CCAFS,Solar DynamicsObservatory,GEO,NASA/GSFC,NASA/GSFC,Scientific,,S,S,
2/11/2010,Proton M,Baikonur,* Intelsat 16,GEO,Intelsat,Orbital Sciences Corp.,Communications,$100M,S,S,
3/1/2010,Proton M,Baikonur,Glonass M R19,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
3/1/2010,Proton M,Baikonur,Glonass M R20,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
3/1/2010,Proton M,Baikonur,Glonass M R21,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
3/3/2010,Delta IV Medium,CCAFS,GOES-P,GEO,NOAA,Boeing,Meteorological,$100M,S,S,
3/4/2010,Long March 4C,Jiuquan,Yaogan 9,LEO,CNSA,SAS,Remote Sensing,,S,S,
3/19/2010,Proton M,Baikonur,* Echostar XIV,GEO,Echostar CommunicationsCorportation,Space Systems/Loral,Communications,$100M,S,S,
4/1/2010,Soyuz,Baikonur,Soyuz ISS 22S,LEO,Roscosmos,RSC Energia,ISS,,S,S,
4/4/2010,Shuttle Discovery,KSC,STS 131,LEO,NASA,Rockwell International,Crewed,,S,S,
4/7/2010,Dnepr M,Baikonur,* Cryosat 2,LEO,ESA,EADS Astrium,Remote Sensing,$12M,S,S,
4/14/2010,GSLV Mark 2,Satish DhawanSpace Center,* GSAT 4,GEO,ISRO,ISRO,Communications,,F,F,
4/15/2010,Soyuz-U,Plesetsk,Kosmos 2462,LEO,Russian MoD,TsSKB Progress,Classified,,S,S,
4/21/2010,Atlas V 501,CCAFS,X-37B OTV,LEO,USAF,Boeing,Development,,S,S,
4/24/2010,Proton M,Baikonur,* SES-1,GEO,SES World Skies,Orbital Sciences Corp.,Communications,$85M,S,S,
4/26/2010,Kosmos 3M,Plesetsk,Kosmos 2463,LEO,Russian MoD,ISS Reshetnev,Classified,,S,S,
4/27/2010,Soyuz,Baikonur,Progress ISS 37P,LEO,Roscosmos,RSC Energia,ISS,,S,S,
5/13/2010,Shuttle Atlantis,KSC,STS 132,LEO,NASA,Rockwell International,Crewed,,S,S,
5/20/2010,Ariane 5 ECA,Kourou,* Astra 3B,GEO,SES Astra,EADS Astrium,Communications,$220M,S,S,
5/20/2010,Ariane 5 ECA,Kourou,COMSATBw 2,GEO,German Defense Ministry,EADS Astrium,Communications,,S,S,
5/20/2010,H IIA 202,Tanegashima,AKATSUKI,EXT,JAXA,JAXA,Scientific,,S,S,
5/20/2010,H IIA 202,Tanegashima,Ikaros,LEO,JAXA,JAXA,Development,,S,S,
5/20/2010,H IIA 202,Tanegashima,K-Sat,LEO,Kagoshima University,Kagoshima University,Scientific,,S,S,
5/20/2010,H IIA 202,Tanegashima,Nagai,LEO,Soka University,Soka University,Development,,S,S,
5/20/2010,H IIA 202,Tanegashima,Unitec-1,EXT,JAXA,JAXA,Scientific,,S,S,
5/20/2010,H IIA 202,Tanegashima,Waseda-Sat 2,LEO,Waseda University,JAXA,Scientific,,S,S,
5/26/2010,Delta IV Medium,CCAFS,Navstar GPS 2F-01,MEO,USAF,Boeing,Navigation,,S,S,
6/1/2010,Long March 3C,Xichang,Beidou 2,GEO,CAST,CAST,Navigation,,S,S,
6/1/2010,Rockot,Plesetsk,* SERVIS 2,SSO,USEF,USEF,Development,$30M,S,S,
6/3/2010,Proton M,Baikonur,* BADR-5,GEO,Arab SatelliteCommunications Org.,EADS Astrium,Communications,$85M,S,S,
6/3/2010,Falcon 9,CCAFS,* Falcon 9 Demo Flight,LEO,Space ExporationTechnologies,Space ExplorationTechnologies,Test,$56M,S,S,
6/8/2010,KSLV 1,Naro SpaceCenter,STSAT 2b,SSO,KARI,KARI,Scientific,,F,F,
6/14/2010,Dnepr M,Dombarovskiy,Prisma Main,SSO,Swedish Space Corp.,Swedish Space Corp.,Development,$12M,S,S,
6/14/2010,Dnepr M,Dombarovskiy,Picard,SSO,CNES,CNES,Scientific,,S,S,
6/14/2010,Dnepr M,Dombarovskiy,Prisma Target,SSO,Swedish Space Corp.,Swedish Space Corp.,Development,,S,S,
6/14/2010,Long March 2D,Jiuquan,Shijian 12,LEO,China AerospaceCorporation,SAS,Scientific,,S,S,
6/15/2010,Soyuz,Baikonur,Soyuz ISS 23S,LEO,Roscosmos,RSC Energia,ISS,,S,S,
